Mineral;R;G;B
Al-Micas+Ilita+Al-Esmectitas;0;192;0
Al-Esmectitas;51;102;0
Anfib�lio;184;222;101
Ankerita;255;192;128
Anortocl�sio;220;19;59
Apatita;255;128;128
Albita;244;164;96
Badele�ta;200;72;221
Barita;196;189;151
Calcita (0% a 1%MgO);0;255;255
Calcita (1% a 4%MgO);32;178;170
Calcita (4% a 7%MgO);0;90;90
Calcita (7% a 10%MgO);0;50;50
Calcopirita;169;133;181
Caulinita;192;64;0
Celestita;135;206;235
Clorita+Clorita-Esmectita;0;255;0
Criolita;157;153;81
Dawsonita;118;147;60
Dolomita;0;112;192
Dolomita (17% a 20%MgO);0;0;128
Dolomita (20% a 22%MgO);128;128;255
Escapolita;192;192;255
Epidoto;188;143;143
Esfalerita;189;183;106
Estroncianita;192;192;255
Fase de Al, Si, Ca, Fe;106;142;34
Fase de F, Al, Si, Ca;149;71;212
Fase de F, Mg, Si, Al;0;0;255
Fase de Mg, Al, Si, Fe;46;78;78
Fase de Mg, Si, Ca, Fe;93;41;233
Fase de Na, Mg, Al, Si;185;133;24
Fase de Na, Mg, Si, Ca, Fe;14;163;240
Fase de S, Ti, Fe;255;215;0
Fase de Si, Ca;255;98;70
Fase de Si, Ca, Ti, Fe;46;46;142
Fase de Si, Fe;210;200;140
Fe-Micas;152;251;152
Ferrosilita;128;64;64
Fluorita;110;135;178
Gipsita/Anidrita;255;0;0
Goyazita;143;59;211
Halita;128;128;128
Ilmenita;64;64;64
Jarosita;210;180;140
K-Feldspato;206;107;10
Magnesita;82;165;178
Material Rico em Carbono (MC);255;0;255
Mg-Argilominerais;218;165;32
Mg-Micas+Mg-Esmectitas;128;0;0
Mineral Rico em Al;30;56;68
Morinita;255;192;192
Natrojarosita;255;222;173
Nefelina;0;128;0
Noseana;192;192;0
Olivina;96;73;122
Outros;255;255;255
�xido de Alum�nio;192;192;192
�xido de Ferro;111;128;144
�xido de Ferro e Tit�nio;105;105;105
�xido de Tit�nio;192;255;255
Paragonita;240;230;140
Pirita;151;71;6
Pirox�nio;204;153;255
Plagiocl�sio/Ze�lita;214;184;54
Poros;0;0;0
Prosopita;103;105;178
Quartzo;255;255;0
Siderita;255;128;0
Silvita;191;191;191
Sodalita;101;66;162
Svanbergita;192;192;255
Titanita;143;188;139
Tunisita;97;81;174
Zirc�o;255;0;153
Zoisita;255;192;203
Sr-Barita;128;0;128
